city_id,city_name,state,lat,lon
1587,SPARTA,TN,35.93,-85.47
1588,HENDERSONVILLE,TN,36.29,-86.6
1589,LAKE JACKSON,TX,29.04,-95.44
1590,GAINESVILLE,TX,33.63,-97.15
1591,KINGSVILLE,TX,27.5,-97.86
1592,UVALDE,TX,29.21,-99.78
1593,KAUFMAN,TX,32.58,-96.3
1594,COLLEGE STATION,TX,30.6,-96.31
1595,RICHMOND,TX,29.58,-95.76
1596,WAXAHACHIE,TX,32.4,-96.85
1597,CORSICANA,TX,32.08,-96.46
1598,NACOGDOCHES,TX,31.61,-94.65
1599,RICHARDSON,TX,32.97,-96.7
1600,CROCKETT,TX,31.31,-95.45
1601,BROWNWOOD,TX,31.72,-98.97
1602,GRANBURY,TX,32.44,-97.78
1603,CARROLLTON,TX,32.98,-96.89
1604,FRISCO,TX,33.14,-96.81
1605,PRICE,UT,39.57,-110.8
1606,LAYTON,UT,41.07,-111.98
1607,BRATTLEBORO,VT,42.86,-72.57
1608,BENNINGTON,VT,42.87,-73.18
1609,HOPEWELL,VA,37.29,-77.29
1610,MARION,VA,36.83,-81.51
1611,RICHLANDS,VA,37.09,-81.8
1612,TAPPAHANNOCK,VA,37.92,-76.86
1613,BEDFORD,VA,37.32,-79.52
1614,FARMVILLE,VA,37.29,-78.39
1615,FRANKLIN,VA,36.68,-76.93
1616,WYTHEVILLE,VA,36.95,-81.08
1617,WOODBRIDGE,VA,38.63,-77.26
1618,GALAX,VA,36.66,-80.91
1619,PULASKI,VA,37.05,-80.76
1620,KILMARNOCK,VA,37.71,-76.38
1621,GLOUCESTER,VA,37.43,-76.54
1622,STAFFORD,VA,38.42,-77.4
1623,ANACORTES,WA,48.46,-122.6
1624,LAKEWOOD,WA,47.16,-122.5
1625,KENNEWICK,WA,46.21,-119.16
1626,GIG HARBOR,WA,47.36,-122.6
1627,RIPLEY,WV,38.82,-81.7
1628,ELKINS,WV,38.92,-79.85
1629,LOGAN,WV,37.84,-81.98
1630,STEVENS POINT,WI,44.54,-89.56
1631,RICE LAKE,WI,45.49,-91.73
1632,RHINELANDER,WI,45.63,-89.41
1633,MONROE,WI,42.59,-89.64
1634,WISCONSIN RAPID,WI,44.39,-89.83
1635,TWO RIVERS,WI,44.2,-87.59
1636,SHEBOYGAN,WI,43.82,-87.75
1637,WEST BEND,WI,43.42,-88.18
1638,FORT ATKINSON,WI,42.92,-88.84
1639,BEAVER DAM,WI,43.46,-88.83
1640,FOND DU LAC,WI,43.77,-88.44
1641,WOODRUFF,WI,45.9,-89.69
1642,PRAIRIE DU SAC,WI,43.29,-89.72
1643,BELOIT,WI,42.52,-89.02
1644,ELKHORN,WI,42.67,-88.54
1645,MANITOWOC,WI,44.09,-87.67
1646,WESTON,WI,44.91,-89.61
1647,SUMMIT,WI,43.1,-88.49
1648,KYLE,TX,29.99,-97.87
1649,OPP,AL,31.29,-86.25
1650,WINFIELD,AL,33.92,-87.79
1651,BREWTON,AL,31.11,-87.07
1652,MONROEVILLE,AL,31.51,-87.32
1653,MUSCLE SHOALS,AL,34.74,-87.64
1654,ATMORE,AL,31.02,-87.49
1655,FORT MOHAVE,AZ,35,-114.56
1656,POCAHONTAS,AR,36.26,-90.96
1657,SHERWOOD,AR,34.83,-92.2
1658,DELTA,CO,38.74,-108.07
1659,PUTNAM,CT,41.91,-71.9
1660,NEW MILFORD,CT,41.58,-73.4
1661,MILTON,FL,30.63,-87.04
1662,MIRAMAR,FL,26.02,-80.16
1663,SPRING VALLEY,IL,41.32,-89.19
1664,PERU,IL,41.34,-89.12
1665,LOGANSPORT,IN,40.75,-86.35
1666,FORT MADISON,IA,40.61,-91.35
1667,PARSONS,KS,37.33,-95.26
1668,MAYSVILLE,KY,38.62,-83.78
1669,FLEMINGSBURG,KY,38.42,-83.73
1670,LEESVILLE,LA,31.13,-93.27
1671,FARMINGTON,ME,44.66,-70.14
1672,SANFORD,ME,43.44,-70.78
1673,AYER,MA,42.56,-71.58
1674,GREENVILLE,MI,43.17,-85.25
1675,TAWAS CITY,MI,44.27,-83.51
1676,ALEXANDRIA,MN,45.87,-95.37
1677,SHAKOPEE,MN,44.77,-93.47
1678,AUSTIN,MN,43.67,-92.97
1679,BILOXI,MS,30.39,-88.88
1680,WEST POINT,MS,33.6,-88.64
1681,PICAYUNE,MS,30.52,-89.67
1682,MEXICO,MO,39.16,-91.87
1683,BLUE SPRINGS,MO,39.01,-94.28
1684,COLUMBUS,NE,41.43,-97.35
1685,AMSTERDAM,NY,42.94,-74.19
1686,LEWISTON,NY,43.17,-79.04
1687,MOUNT AIRY,NC,36.5,-80.61
1688,HAMLET,NC,34.88,-79.7
1689,SIDNEY,OH,40.28,-84.16
1690,BOWLING GREEN,OH,41.37,-83.64
1691,COLDWATER,OH,40.48,-84.63
1692,CUYAHOGA FALLS,OH,41.16,-81.52
1693,MIAMI,OK,36.88,-94.87
1694,BLACKWELL,OK,36.8,-97.29
1695,YUKON,OK,35.51,-97.76
1696,THE DALLES,OR,45.41,-122.49
1697,MCMINNVILLE,OR,45.19,-123.24
1698,LEHIGHTON,PA,40.83,-75.71
1699,WEST GROVE,PA,39.82,-75.82
1700,WESTERLY,RI,41.37,-71.81
1701,MANNING,SC,33.69,-80.21
1702,MOUNT PLEASANT,SC,32.82,-79.86
1703,MITCHELL,SD,43.73,-98.03
1704,GALLATIN,TN,36.37,-86.45
1705,SWEETWATER,TN,35.6,-84.46
1706,JOURDANTON,TX,28.91,-98.54
1707,SAN MARCOS,TX,29.88,-97.92
1708,LIVINGSTON,TX,30.7,-94.93
1709,PLAINVIEW,TX,34.19,-101.72
