SourceFile,ShutterSpeed,Aperture,FocalLength,ISO,DateTimeOriginal,Model,Lens
thumbnails/IMG_0519.jpg,30,7.1,18,100,2012:09:20 18:56:13,Canon EOS 550D,EF-S18-55mm f/3.5-5.6 IS
thumbnails/IMG_0522.jpg,0.00625,4.5,50,100,2011:07:03 18:48:23,Canon EOS 550D,EF50mm f/1.8 II
thumbnails/IMG_0621.jpg,0.0125,3.2,50,500,2012:09:22 16:27:55,Canon EOS 550D,EF50mm f/1.8 II
thumbnails/IMG_0669.jpg,0.01666666667,3.2,50,2000,2011:07:09 18:10:26,Canon EOS 550D,EF50mm f/1.8 II
thumbnails/IMG_0804.jpg,0.008,5.6,250,3200,2012:09:26 13:02:39,Canon EOS 550D,EF-S55-250mm f/4-5.6 IS
thumbnails/IMG_1004.jpg,0.025,3.5,72,200,2010:05:19 17:47:56,Canon PowerShot S5 IS,6.0-72.0 mm
thumbnails/IMG_3043.jpg,0.0025,5.6,179,100,2012:11:27 11:30:59,Canon EOS 550D,EF-S55-250mm f/4-5.6 IS
thumbnails/IMG_3066.jpg,0.005,5.6,49,100,2011:10:10 19:04:20,Canon EOS 550D,EF-S18-55mm f/3.5-5.6 IS
thumbnails/IMG_3084.jpg,0.004,5,131,100,2012:11:27 11:48:51,Canon EOS 550D,EF-S55-250mm f/4-5.6 IS
thumbnails/IMG_3101.jpg,0.0125,5.6,55,100,2011:10:10 19:35:43,Canon EOS 550D,EF-S18-55mm f/3.5-5.6 IS
thumbnails/IMG_3147.jpg,0.00125,3.5,59.7,80,2008:07:11 07:05:37,Canon PowerShot S5 IS,6.0-72.0 mm
thumbnails/IMG_3157.jpg,0.01,5.6,55,400,2011:10:10 22:21:52,Canon EOS 550D,EF-S18-55mm f/3.5-5.6 IS
thumbnails/IMG_3161.jpg,0.01666666667,2.5,50,125,2012:11:27 13:09:33,Canon EOS 550D,EF50mm f/1.8 II
thumbnails/IMG_3192.jpg,0.07692307692,5.6,45,3200,2011:10:11 14:43:47,Canon EOS 550D,EF-S18-55mm f/3.5-5.6 IS
thumbnails/IMG_3224.jpg,0.0025,5.6,250,320,2012:12:01 07:29:50,Canon EOS 550D,EF-S55-250mm f/4-5.6 IS
thumbnails/IMG_3238.jpg,0.2,5.6,37,3200,2011:10:11 14:57:32,Canon EOS 550D,EF-S18-55mm f/3.5-5.6 IS
thumbnails/IMG_3244-Edit.jpg,0.003125,5.6,250,250,2012:12:01 07:32:38,Canon EOS 550D,EF-S55-250mm f/4-5.6 IS
thumbnails/IMG_3320.jpg,0.06666666667,4.5,36,3200,2011:10:11 16:06:42,Canon EOS 550D,EF-S18-55mm f/3.5-5.6 IS
thumbnails/IMG_3366-1.jpg,0.002,3.5,72,80,2008:09:05 09:57:35,Canon PowerShot S5 IS,6.0-72.0 mm
thumbnails/IMG_3402.jpg,0.00125,2.8,50,100,2011:10:11 21:06:53,Canon EOS 550D,EF50mm f/1.8 II
thumbnails/IMG_3424.jpg,0.004,2.8,50,100,2011:10:11 21:17:16,Canon EOS 550D,EF50mm f/1.8 II
thumbnails/IMG_3501.jpg,0.05,18,55,3200,2011:10:11 22:42:30,Canon EOS 550D,EF-S18-55mm f/3.5-5.6 IS
thumbnails/IMG_3563.jpg,1,6.3,37,800,2011:10:11 23:19:04,Canon EOS 550D,EF-S18-55mm f/3.5-5.6 IS
thumbnails/IMG_5432.jpg,0.002,2.8,50,100,2012:02:05 18:09:58,Canon EOS 550D,EF50mm f/1.8 II
thumbnails/IMG_5488.jpg,0.02,5,39,400,2012:02:05 18:36:08,Canon EOS 550D,EF-S18-55mm f/3.5-5.6 IS
thumbnails/IMG_5496.jpg,0.02,4.5,35,1250,2012:02:05 18:47:51,Canon EOS 550D,EF-S18-55mm f/3.5-5.6 IS
thumbnails/IMG_5903.jpg,0.01666666667,3.2,50,1600,2012:03:30 14:53:06,Canon EOS 550D,EF50mm f/1.8 II
thumbnails/IMG_6107.jpg,0.0125,5.6,55,800,2012:04:24 18:43:15,Canon EOS 550D,EF-S18-55mm f/3.5-5.6 IS
thumbnails/IMG_6143.jpg,1,5,18,100,2012:04:24 19:01:20,Canon EOS 550D,EF-S18-55mm f/3.5-5.6 IS
thumbnails/IMG_6334.jpg,0.01666666667,2.2,50,2000,2012:04:27 22:25:08,Canon EOS 550D,EF50mm f/1.8 II
thumbnails/IMG_6411.jpg,0.01666666667,2.2,50,200,2012:04:28 18:08:43,Canon EOS 550D,EF50mm f/1.8 II
thumbnails/IMG_6580.jpg,0.004,3.5,42.8,160,2009:06:20 14:40:03,Canon PowerShot S5 IS,6.0-72.0 mm
thumbnails/IMG_6673.jpg,0.00125,2.5,50,100,2012:05:02 18:27:57,Canon EOS 550D,EF50mm f/1.8 II
thumbnails/IMG_7032.jpg,1,3.5,18,250,2012:05:27 20:10:18,Canon EOS 550D,EF-S18-55mm f/3.5-5.6 IS
thumbnails/IMG_7387.jpg,0.00125,5.6,250,100,2012:06:06 00:37:02,Canon EOS 550D,EF-S55-250mm f/4-5.6 IS
thumbnails/IMG_7711.jpg,0.0025,5,146,100,2012:06:09 17:34:30,Canon EOS 550D,EF-S55-250mm f/4-5.6 IS
thumbnails/IMG_8468.jpg,0.025,2.5,50,3200,2012:06:16 19:32:57,Canon EOS 550D,EF50mm f/1.8 II
thumbnails/IMG_8702.jpg,0.0125,5,50,100,2012:06:29 15:48:24,Canon EOS 550D,EF50mm f/1.8 II
thumbnails/IMG_8767.jpg,0.0025,3.5,72,200,2010:01:01 17:09:32,Canon PowerShot S5 IS,6.0-72.0 mm
thumbnails/IMG_8769.jpg,0.0025,5.6,194,100,2012:07:01 11:07:20,Canon EOS 550D,EF-S55-250mm f/4-5.6 IS
thumbnails/IMG_1145.jpg,0.004,5.6,135,800,2011:07:23 16:44:22,Canon EOS 550D,EF28-135mm f/3.5-5.6 IS USM
